id,name,category,desc,ticket,duration,lat,lng,rating,tags,stay_detail,gmaps_url,source
gunung-kendang,Gunung Kendang,Alam,,,,-7.2452629,107.7085691,,"['2608', 'peak', 'stratovolcano', 'q675072', 'category:mount_kendang', 'en:mount_kendang']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kendang%2C%20Bandung,osm
pasir-leutik,Pasir Leutik,Alam,,,,-6.910556,107.872778,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Leutik%2C%20Bandung,osm
gunung-leutik,Gunung Leutik,Alam,,,,-6.910556,107.521944,,"['mt', 'peak', 'modify_date:_2007-05-22']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Leutik%2C%20Bandung,osm
gunung-padang,Gunung Padang,Alam,,,,-7.052778,107.416389,,"['mt', 'peak', 'modify_date:_2003-07-31']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Padang%2C%20Bandung,osm
gunung-cibatuipis,Gunung Cibatuipis,Alam,,,,-7.1765,107.7607,,"['mt', 'peak', 'modify_date:_2008-05-29']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Cibatuipis%2C%20Bandung,osm
gunung-canggok,Gunung Canggok,Alam,,,,-6.774167,107.766111,,"['1602', 'mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Canggok%2C%20Bandung,osm
pasir-karasak,Pasir Karasak,Alam,,,,-7.2407566,107.4147288,,"['1813', 'mt', 'peak', 'modify_date:_2008-04-15']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Karasak%2C%20Bandung,osm
gunung-waringin,Gunung Waringin,Alam,,,,-7.1952,107.4944,,"['mt', 'peak', 'modify_date:_2008-04-15']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Waringin%2C%20Bandung,osm
gunung-ranggasena,Gunung Ranggasena,Alam,,,,-7.0212,107.4233,,"['mt', 'peak', 'modify_date:_2008-03-26']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Ranggasena%2C%20Bandung,osm
gunung-cilutung,Gunung Cilutung,Alam,,,,-7.1392,107.8095,,"['mt', 'peak', 'modify_date:_2008-05-29']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Cilutung%2C%20Bandung,osm
gunung-cayur,Gunung Cayur,Alam,,,,-7.0713,107.4741,,"['1176', 'mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Cayur%2C%20Bandung,osm
gunung-haruman,Gunung Haruman,Alam,,,,-7.1405,107.8675,,"['mt', 'peak', 'modify_date:_2008-05-29']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Haruman%2C%20Bandung,osm
pasir-badak,Pasir Badak,Alam,,,,-7.0403,107.4281,,"['1239', 'mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Badak%2C%20Bandung,osm
pasir-ekek,Pasir Ekek,Alam,,,,-6.865278,107.445556,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Ekek%2C%20Bandung,osm
gunung-benteng,Gunung Benteng,Alam,,,,-6.767778,107.4875,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Benteng%2C%20Bandung,osm
gunung-malahaji,Gunung Malahaji,Alam,,,,-7.114722,107.718056,,"['mt', 'peak', 'modify_date:_2004-09-09']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Malahaji%2C%20Bandung,osm
pasir-nanggerang,Pasir Nanggerang,Alam,,,,-6.815556,107.483611,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Nanggerang%2C%20Bandung,osm
pasir-serewen,Pasir Serewen,Alam,,,,-6.993889,107.891944,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Serewen%2C%20Bandung,osm
gunung-bulangur,Gunung Bulangur,Alam,,,,-6.968889,107.51,,"['mt', 'peak', 'modify_date:_2007-05-22']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Bulangur%2C%20Bandung,osm
gunung-hawu,Gunung Hawu,Alam,,,,-6.835145,107.4564868,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Hawu%2C%20Bandung,osm
